WEEK,海外投資家_PREV_NET,海外投資家_CURR_NET,海外投資家_WOW_NET,海外投資家_BUY_RATIO,海外投資家_SELL_RATIO,個人_PREV_NET,個人_CURR_NET,個人_WOW_NET,個人_BUY_RATIO,個人_SELL_RATIO,法人_PREV_NET,法人_CURR_NET,法人_WOW_NET,法人_BUY_RATIO,法人_SELL_RATIO,金融機関_PREV_NET,金融機関_CURR_NET,金融機関_WOW_NET,金融機関_BUY_RATIO,金融機関_SELL_RATIO,信託銀行_PREV_NET,信託銀行_CURR_NET,信託銀行_WOW_NET,信託銀行_BUY_RATIO,信託銀行_SELL_RATIO,投資信託_PREV_NET,投資信託_CURR_NET,投資信託_WOW_NET,投資信託_BUY_RATIO,投資信託_SELL_RATIO,海外投資家_ROLL4_NET,海外投資家_ROLL8_NET,海外投資家_ROLL12_NET,海外投資家_MOM4,個人_ROLL4_NET,個人_ROLL8_NET,個人_ROLL12_NET,個人_MOM4,法人_ROLL4_NET,法人_ROLL8_NET,法人_ROLL12_NET,法人_MOM4,金融機関_ROLL4_NET,金融機関_ROLL8_NET,金融機関_ROLL12_NET,金融機関_MOM4,信託銀行_ROLL4_NET,信託銀行_ROLL8_NET,信託銀行_ROLL12_NET,信託銀行_MOM4,投資信託_ROLL4_NET,投資信託_ROLL8_NET,投資信託_ROLL12_NET,投資信託_MOM4
2025-01-01,-65723365.0,343552189.0,409275554.0,64.0,64.5,131583173.0,727749714.0,596166541.0,29.8,27.6,-5273151.0,-365521091.0,-360247940.0,5.7,7.5,29490729.0,-596728803.0,-626219532.0,1.5,4.1,31308825.0,-531876103.0,-563184928.0,1.3,3.6,-43440078.0,-116178102.0,-72738024.0,1.6,2.2,343552189.0,343552189.0,343552189.0,343552189.0,727749714.0,727749714.0,727749714.0,727749714.0,-365521091.0,-365521091.0,-365521091.0,-365521091.0,-596728803.0,-596728803.0,-596728803.0,-596728803.0,-531876103.0,-531876103.0,-531876103.0,-531876103.0,-116178102.0,-116178102.0,-116178102.0,-116178102.0
2025-01-02,343552189.0,-4618496.0,-348170685.0,66.6,68.9,727749714.0,451331092.0,-276418622.0,27.0,25.3,-365521091.0,133363017.0,498884108.0,6.0,5.4,-596728803.0,-177224064.0,419504739.0,1.7,2.8,-531876103.0,-130026501.0,401849602.0,1.4,2.2,-116178102.0,89809112.0,205987214.0,1.8,1.3,338933693.0,338933693.0,338933693.0,-4618496.0,1179080806.0,1179080806.0,1179080806.0,451331092.0,-232158074.0,-232158074.0,-232158074.0,133363017.0,-773952867.0,-773952867.0,-773952867.0,-177224064.0,-661902604.0,-661902604.0,-661902604.0,-130026501.0,-26368990.0,-26368990.0,-26368990.0,89809112.0
2025-01-03,-4618496.0,391106701.0,395725197.0,64.8,63.1,451331092.0,-458643678.0,-909974770.0,29.7,31.9,133363017.0,100912993.0,-32450024.0,5.1,4.6,-177224064.0,-95358320.0,81865744.0,1.4,1.8,-130026501.0,-30936383.0,99090118.0,1.2,1.4,89809112.0,-31236160.0,-121045272.0,1.3,1.4,730040394.0,730040394.0,730040394.0,391106701.0,720437128.0,720437128.0,720437128.0,-458643678.0,-131245081.0,-131245081.0,-131245081.0,100912993.0,-869311187.0,-869311187.0,-869311187.0,-95358320.0,-692838987.0,-692838987.0,-692838987.0,-30936383.0,-57605150.0,-57605150.0,-57605150.0,-31236160.0
2025-01-04,391106701.0,-313361726.0,-704468427.0,63.4,64.1,-458643678.0,142436226.0,601079904.0,29.8,29.0,100912993.0,-15793185.0,-116706178.0,6.4,6.4,-95358320.0,-138960451.0,-43602131.0,2.2,2.8,-30936383.0,-94014531.0,-63078148.0,2.0,2.4,-31236160.0,-54858315.0,-23622155.0,2.0,2.2,416678668.0,416678668.0,416678668.0,-313361726.0,862873354.0,862873354.0,862873354.0,142436226.0,-147038266.0,-147038266.0,-147038266.0,-15793185.0,-1008271638.0,-1008271638.0,-1008271638.0,-138960451.0,-786853518.0,-786853518.0,-786853518.0,-94014531.0,-112463465.0,-112463465.0,-112463465.0,-54858315.0
2025-02-01,-313361726.0,-265752802.0,47608924.0,64.7,67.1,142436226.0,489228603.0,346792377.0,28.0,26.7,-15793185.0,300559497.0,316352682.0,6.7,5.7,-138960451.0,-36507099.0,102453352.0,2.4,2.6,-94014531.0,63714603.0,157729134.0,2.2,2.0,-54858315.0,26784917.0,81643232.0,1.8,1.7,-192626323.0,150925866.0,150925866.0,-609304991.0,624352243.0,1352101957.0,1352101957.0,-238521111.0,519042322.0,153521231.0,153521231.0,666080588.0,-448049934.0,-1044778737.0,-1044778737.0,560221704.0,-191262812.0,-723138915.0,-723138915.0,595590706.0,30499554.0,-85678548.0,-85678548.0,142963019.0
2025-02-02,-265752802.0,96432842.0,362185644.0,66.4,66.0,489228603.0,-100118088.0,-589346691.0,27.8,28.3,300559497.0,18016039.0,-282543458.0,5.3,5.2,-36507099.0,-146609245.0,-110102146.0,1.3,2.0,63714603.0,-68096998.0,-131811601.0,1.2,1.5,26784917.0,-7887516.0,-34672433.0,1.5,1.5,-91574985.0,247358708.0,247358708.0,101051338.0,72903063.0,1251983869.0,1251983869.0,-551449180.0,403695344.0,171537270.0,171537270.0,-115346978.0,-417435115.0,-1191387982.0,-1191387982.0,30614819.0,-129333309.0,-791235913.0,-791235913.0,61929503.0,-67197074.0,-93566064.0,-93566064.0,-97696628.0
2025-02-03,96432842.0,-163238045.0,-259670887.0,63.6,64.6,-100118088.0,175108933.0,275227021.0,29.3,28.8,18016039.0,143901152.0,125885113.0,6.7,6.1,-146609245.0,-116483510.0,30125735.0,1.7,2.2,-68096998.0,-33992054.0,34104944.0,1.5,1.7,-7887516.0,49863879.0,57751395.0,2.3,2.1,-645919731.0,84120663.0,84120663.0,-554344746.0,706655674.0,1427092802.0,1427092802.0,633752611.0,446683503.0,315438422.0,315438422.0,42988159.0,-438560305.0,-1307871492.0,-1307871492.0,-21125190.0,-132388980.0,-825227967.0,-825227967.0,-3055671.0,13902965.0,-43702185.0,-43702185.0,81100039.0
2025-02-04,-163238045.0,-607154141.0,-443916096.0,66.8,69.9,175108933.0,518192386.0,343083453.0,25.1,22.9,143901152.0,155232950.0,11331798.0,7.6,6.9,-116483510.0,-68185428.0,48298082.0,2.8,3.1,-33992054.0,-39313292.0,-5321238.0,2.5,2.7,49863879.0,5093246.0,-44770633.0,2.3,2.3,-939712146.0,-523033478.0,-523033478.0,-293792415.0,1082411834.0,1945285188.0,1945285188.0,375756160.0,617709638.0,470671372.0,470671372.0,171026135.0,-367785282.0,-1376056920.0,-1376056920.0,70775023.0,-77687741.0,-864541259.0,-864541259.0,54701239.0,73854526.0,-38608939.0,-38608939.0,59951561.0
2025-03-01,-607154141.0,-101580863.0,505573278.0,64.4,65.5,518192386.0,-431929122.0,-950121508.0,25.9,27.9,155232950.0,830842591.0,675609641.0,9.2,6.1,-68185428.0,345005392.0,413190820.0,3.5,2.2,-39313292.0,334256326.0,373569618.0,3.1,1.8,5093246.0,257369999.0,252276753.0,3.1,2.1,-775540207.0,-968166530.0,-624614341.0,164171939.0,161254109.0,785606352.0,1513356066.0,-921157725.0,1147992732.0,1667035054.0,1301513963.0,530283094.0,13727209.0,-434322725.0,-1031051528.0,381512491.0,192853982.0,1591170.0,-530284933.0,270541723.0,304439608.0,334939162.0,218761060.0,230585082.0
2025-03-02,-101580863.0,-808595250.0,-707014387.0,68.3,69.1,-431929122.0,-130907400.0,301021722.0,25.6,25.2,830842591.0,28039689.0,-802802902.0,5.5,5.2,345005392.0,14488427.0,-330516965.0,2.1,1.9,334256326.0,55567931.0,-278688395.0,1.7,1.4,257369999.0,-83392185.0,-340762184.0,1.3,1.6,-1680568299.0,-1772143284.0,-1433209591.0,-905028092.0,130464797.0,203367860.0,1382448666.0,-30789312.0,1158016382.0,1561711726.0,1329553652.0,10023650.0,174824881.0,-242610234.0,-1016563101.0,161097672.0,316518911.0,187185602.0,-474717002.0,123664929.0,228934939.0,161737865.0,135368875.0,-75504669.0
2025-03-03,-808595250.0,261144507.0,1069739757.0,66.5,64.0,-130907400.0,-472934778.0,-342027378.0,26.9,28.6,28039689.0,-188279522.0,-216319211.0,6.0,6.7,14488427.0,-92968668.0,-107457095.0,2.0,2.4,55567931.0,-75582848.0,-131150779.0,1.5,1.9,-83392185.0,-128545708.0,-45153523.0,1.3,1.9,-1256185747.0,-1902105478.0,-1172065084.0,424382552.0,-517578914.0,189076760.0,909513888.0,-648043711.0,825835708.0,1272519211.0,1141274130.0,-332180674.0,198339723.0,-240220582.0,-1109531769.0,23514842.0,274928117.0,142539137.0,-550299850.0,-41590794.0,50525352.0,64428317.0,6823167.0,-178409587.0
2025-03-04,261144507.0,-841689022.0,-1102833529.0,64.6,64.3,-472934778.0,478269233.0,951204011.0,30.4,26.5,-188279522.0,-1046396832.0,-858117310.0,4.5,8.8,-92968668.0,-876371001.0,-783402333.0,1.2,4.9,-75582848.0,-791712320.0,-716129472.0,1.0,4.4,-128545708.0,-182237565.0,-53691857.0,1.8,2.5,-1490720628.0,-2430432774.0,-2013754106.0,-234534881.0,-557502067.0,524909767.0,1387783121.0,-39923153.0,-375794074.0,241915564.0,94877298.0,-1201629782.0,-609845850.0,-977631132.0,-1985902770.0,-808185573.0,-477470911.0,-555158652.0,-1342012170.0,-752399028.0,-136805459.0,-62950933.0,-175414398.0,-187330811.0
